样本ID,人群,时期,年龄_年前
154,YRI,现代,0
155,YRI,现代,0
156,YRI,现代,0
157,YRI,现代,0
158,YRI,现代,0
159,YRI,现代,0
160,YRI,现代,0
161,YRI,现代,0
162,YRI,现代,0
163,YRI,现代,0
164,YRI,现代,0
165,YRI,现代,0
166,YRI,现代,0
167,YRI,现代,0
168,YRI,现代,0
169,YRI,现代,0
170,YRI,现代,0
171,YRI,现代,0
172,YRI,现代,0
173,YRI,现代,0
174,YRI,现代,0
175,YRI,现代,0
176,YRI,现代,0
177,YRI,现代,0
178,YRI,现代,0
179,YRI,现代,0
180,YRI,现代,0
181,YRI,现代,0
182,YRI,现代,0
183,YRI,现代,0
184,YRI,现代,0
185,YRI,现代,0
186,YRI,现代,0
187,YRI,现代,0
188,YRI,现代,0
189,YRI,现代,0
190,YRI,现代,0
191,YRI,现代,0
192,YRI,现代,0
193,YRI,现代,0
194,YRI,现代,0
195,YRI,现代,0
196,YRI,现代,0
197,YRI,现代,0
198,YRI,现代,0
199,YRI,现代,0
200,YRI,现代,0
201,YRI,现代,0
202,YRI,现代,0
203,YRI,现代,0
204,YRI,现代,0
205,YRI,现代,0
206,YRI,现代,0
207,YRI,现代,0
208,YRI,现代,0
209,YRI,现代,0
210,YRI,古代_近期,5000
211,YRI,现代,0
212,YRI,古代_近期,5000
213,YRI,现代,0
214,YRI,现代,0
215,YRI,现代,0
216,YRI,现代,0
217,YRI,现代,0
218,YRI,现代,0
219,YRI,现代,0
220,YRI,现代,0
221,YRI,现代,0
222,YRI,现代,0
223,YRI,现代,0
224,YRI,现代,0
225,YRI,现代,0
226,YRI,现代,0
227,YRI,现代,0
228,YRI,现代,0
229,YRI,现代,0
230,YRI,现代,0
231,YRI,现代,0
232,YRI,现代,0
233,YRI,古代_远期,25000
234,YRI,现代,0
235,YRI,现代,0
236,YRI,现代,0
237,YRI,现代,0
238,YRI,现代,0
239,YRI,古代_远期,25000
240,YRI,现代,0
241,YRI,现代,0
242,YRI,现代,0
243,YRI,现代,0
244,YRI,现代,0
245,YRI,现代,0
246,YRI,现代,0
247,YRI,古代_近期,5000
248,YRI,现代,0
249,YRI,现代,0
250,YRI,现代,0
251,YRI,古代_近期,5000
252,YRI,现代,0
253,YRI,现代,0
254,YRI,古代_近期,5000
255,YRI,现代,0
256,YRI,古代_远期,25000
257,YRI,现代,0
258,YRI,现代,0
259,YRI,现代,0
260,YRI,现代,0
261,YRI,现代,0
262,YRI,现代,0
263,YRI,现代,0
264,YRI,现代,0
265,YRI,现代,0
266,YRI,现代,0
267,YRI,现代,0
268,YRI,现代,0
269,YRI,现代,0
270,YRI,现代,0
271,YRI,现代,0
272,YRI,现代,0
273,YRI,现代,0
274,YRI,现代,0
275,YRI,古代_近期,5000
276,YRI,现代,0
277,YRI,现代,0
278,YRI,现代,0
279,YRI,现代,0
280,YRI,现代,0
281,YRI,古代_近期,5000
282,YRI,现代,0
283,YRI,现代,0
284,YRI,现代,0
285,YRI,现代,0
286,YRI,现代,0
287,YRI,现代,0
288,YRI,现代,0
289,YRI,现代,0
290,YRI,现代,0
291,YRI,现代,0
292,YRI,现代,0
293,YRI,现代,0
294,YRI,现代,0
295,YRI,现代,0
296,YRI,现代,0
297,YRI,古代_近期,5000
298,YRI,现代,0
299,YRI,现代,0
300,YRI,现代,0
301,YRI,现代,0
302,YRI,现代,0
303,YRI,现代,0
304,YRI,现代,0
305,YRI,现代,0
306,YRI,古代_远期,25000
307,YRI,现代,0
308,YRI,现代,0
309,YRI,现代,0
310,YRI,现代,0
311,YRI,现代,0
312,YRI,现代,0
313,YRI,现代,0
314,YRI,现代,0
315,YRI,现代,0
316,YRI,现代,0
317,YRI,现代,0
318,YRI,现代,0
319,YRI,现代,0
320,YRI,现代,0
321,YRI,现代,0
322,YRI,现代,0
323,YRI,现代,0
324,YRI,古代_近期,5000
325,YRI,现代,0
326,YRI,现代,0
327,YRI,现代,0
328,YRI,现代,0
329,YRI,现代,0
330,YRI,现代,0
331,YRI,现代,0
332,YRI,现代,0
333,YRI,现代,0
334,YRI,现代,0
335,YRI,现代,0
336,YRI,现代,0
337,YRI,现代,0
338,YRI,现代,0
339,YRI,现代,0
340,YRI,现代,0
341,YRI,现代,0
342,YRI,现代,0
343,YRI,现代,0
344,YRI,现代,0
345,YRI,现代,0
346,YRI,现代,0
347,YRI,现代,0
348,YRI,现代,0
349,YRI,现代,0
350,YRI,现代,0
351,YRI,现代,0
352,YRI,古代_远期,25000
353,YRI,古代_近期,5000
354,YRI,现代,0
355,YRI,现代,0
356,YRI,现代,0
357,YRI,现代,0
358,YRI,现代,0
359,YRI,现代,0
360,YRI,现代,0
361,YRI,古代_近期,5000
362,YRI,现代,0
363,YRI,现代,0
364,YRI,现代,0
365,YRI,现代,0
366,YRI,古代_远期,25000
367,YRI,现代,0
368,YRI,古代_近期,5000
369,YRI,现代,0
370,YRI,现代,0
371,YRI,现代,0
372,YRI,现代,0
373,YRI,现代,0
374,YRI,古代_近期,5000
375,YRI,现代,0
376,YRI,现代,0
377,YRI,现代,0
378,YRI,现代,0
379,YRI,现代,0
380,YRI,现代,0
381,YRI,现代,0
382,YRI,古代_远期,25000
383,YRI,古代_近期,5000
384,YRI,现代,0
385,YRI,现代,0
386,YRI,现代,0
387,YRI,现代,0
388,YRI,现代,0
389,YRI,现代,0
390,YRI,现代,0
391,YRI,现代,0
392,YRI,现代,0
393,YRI,古代_远期,25000
394,YRI,现代,0
395,YRI,现代,0
396,YRI,现代,0
397,YRI,现代,0
398,YRI,现代,0
399,YRI,现代,0
400,YRI,现代,0
401,YRI,现代,0
402,YRI,现代,0
403,YRI,现代,0
404,YRI,现代,0
405,YRI,现代,0
406,YRI,现代,0
407,YRI,现代,0
408,YRI,现代,0
409,YRI,现代,0
410,YRI,现代,0
411,YRI,现代,0
412,YRI,现代,0
413,YRI,现代,0
414,YRI,现代,0
415,YRI,现代,0
416,YRI,现代,0
417,YRI,现代,0
418,YRI,现代,0
419,YRI,现代,0
420,YRI,现代,0
421,YRI,现代,0
422,YRI,现代,0
423,YRI,现代,0
424,YRI,现代,0
425,YRI,现代,0
426,YRI,现代,0
427,YRI,现代,0
428,YRI,现代,0
429,YRI,古代_远期,25000
430,YRI,现代,0
431,YRI,现代,0
432,YRI,现代,0
433,YRI,现代,0
434,YRI,现代,0
435,YRI,现代,0
436,YRI,现代,0
437,YRI,现代,0
438,YRI,现代,0
439,YRI,现代,0
440,YRI,现代,0
441,YRI,现代,0
442,YRI,现代,0
443,YRI,现代,0
444,YRI,现代,0
445,YRI,现代,0
446,YRI,现代,0
447,YRI,现代,0
448,YRI,现代,0
449,YRI,现代,0
450,YRI,古代_近期,5000
451,YRI,现代,0
452,YRI,现代,0
453,YRI,现代,0
454,YRI,现代,0
455,YRI,现代,0
456,YRI,现代,0
457,YRI,现代,0
458,YRI,现代,0
459,YRI,现代,0
460,YRI,现代,0
461,YRI,现代,0
462,YRI,现代,0
463,YRI,现代,0
464,YRI,古代_远期,25000
465,YRI,现代,0
466,YRI,现代,0
467,YRI,现代,0
468,YRI,现代,0
469,YRI,现代,0
470,YRI,现代,0
471,YRI,现代,0
472,YRI,现代,0
473,YRI,现代,0
474,YRI,现代,0
475,YRI,现代,0
476,YRI,现代,0
477,YRI,现代,0
478,YRI,古代_近期,5000
479,YRI,现代,0
480,YRI,现代,0
481,YRI,现代,0
482,YRI,现代,0
483,YRI,现代,0
484,YRI,现代,0
485,YRI,现代,0
486,YRI,现代,0
487,YRI,现代,0
488,YRI,现代,0
489,YRI,现代,0
490,YRI,现代,0
491,YRI,现代,0
492,YRI,现代,0
493,YRI,现代,0
494,YRI,古代_远期,25000
495,YRI,现代,0
496,YRI,现代,0
497,YRI,现代,0
498,YRI,现代,0
499,YRI,现代,0
500,YRI,现代,0
501,YRI,现代,0
502,YRI,现代,0
503,YRI,现代,0
504,YRI,现代,0
505,YRI,现代,0
506,YRI,现代,0
507,YRI,古代_近期,5000
508,YRI,现代,0
509,YRI,现代,0
510,YRI,现代,0
511,YRI,现代,0
512,YRI,现代,0
513,YRI,现代,0
514,YRI,现代,0
515,YRI,现代,0
516,YRI,现代,0
517,YRI,现代,0
518,YRI,现代,0
519,YRI,现代,0
520,YRI,现代,0
521,YRI,现代,0
522,YRI,现代,0
523,YRI,现代,0
524,YRI,现代,0
525,YRI,现代,0
526,YRI,现代,0
527,YRI,现代,0
528,YRI,现代,0
529,YRI,古代_远期,25000
530,YRI,古代_远期,25000
531,YRI,现代,0
532,YRI,现代,0
533,YRI,现代,0
534,YRI,现代,0
535,YRI,现代,0
536,YRI,现代,0
537,YRI,现代,0
538,YRI,现代,0
539,YRI,现代,0
540,YRI,现代,0
541,YRI,现代,0
542,YRI,现代,0
543,YRI,现代,0
544,YRI,古代_远期,25000
545,YRI,现代,0
546,YRI,现代,0
547,YRI,现代,0
548,YRI,现代,0
549,YRI,现代,0
550,YRI,现代,0
551,YRI,现代,0
552,YRI,现代,0
553,YRI,现代,0
554,YRI,现代,0
555,YRI,现代,0
556,YRI,现代,0
557,YRI,现代,0
558,YRI,现代,0
559,YRI,现代,0
560,YRI,现代,0
561,YRI,现代,0
562,YRI,现代,0
563,YRI,现代,0
564,YRI,现代,0
565,YRI,现代,0
566,YRI,现代,0
567,YRI,现代,0
568,YRI,现代,0
569,YRI,现代,0
570,YRI,现代,0
571,YRI,现代,0
572,YRI,古代_近期,5000
573,YRI,现代,0
574,YRI,现代,0
575,YRI,现代,0
576,YRI,现代,0
577,YRI,现代,0
578,YRI,现代,0
579,YRI,现代,0
580,YRI,现代,0
581,YRI,现代,0
582,YRI,现代,0
583,YRI,现代,0
584,YRI,古代_近期,5000
585,YRI,古代_近期,5000
586,YRI,现代,0
587,YRI,现代,0
588,YRI,现代,0
589,YRI,现代,0
590,YRI,现代,0
591,YRI,现代,0
592,YRI,现代,0
593,YRI,现代,0
594,YRI,现代,0
595,YRI,现代,0
596,YRI,现代,0
597,YRI,现代,0
598,YRI,现代,0
599,YRI,现代,0
600,YRI,现代,0
601,YRI,现代,0
602,YRI,现代,0
603,YRI,现代,0
604,YRI,现代,0
605,YRI,现代,0
606,YRI,现代,0
607,YRI,现代,0
608,YRI,现代,0
609,YRI,现代,0
610,YRI,现代,0
611,YRI,古代_远期,25000
612,YRI,现代,0
613,YRI,现代,0
614,YRI,现代,0
615,YRI,现代,0
616,YRI,现代,0
617,YRI,现代,0
618,YRI,现代,0
619,YRI,现代,0
620,YRI,古代_远期,25000
621,YRI,现代,0
622,YRI,现代,0
623,YRI,现代,0
624,YRI,现代,0
625,YRI,现代,0
626,YRI,现代,0
627,YRI,现代,0
628,YRI,古代_近期,5000
629,YRI,现代,0
630,YRI,现代,0
631,YRI,现代,0
632,YRI,现代,0
633,YRI,现代,0
634,YRI,现代,0
635,YRI,现代,0
636,YRI,现代,0
637,YRI,现代,0
638,YRI,现代,0
639,YRI,现代,0
640,YRI,现代,0
641,YRI,现代,0
642,YRI,现代,0
643,YRI,现代,0
644,YRI,现代,0
645,YRI,现代,0
646,YRI,现代,0
647,YRI,现代,0
648,YRI,现代,0
649,YRI,现代,0
650,YRI,现代,0
651,YRI,古代_近期,5000
652,YRI,现代,0
653,YRI,现代,0
654,YRI,古代_远期,25000
655,YRI,现代,0
656,YRI,现代,0
657,YRI,现代,0
658,YRI,现代,0
659,YRI,现代,0
660,YRI,现代,0
661,YRI,现代,0
662,YRI,现代,0
663,YRI,现代,0
664,YRI,现代,0
665,YRI,现代,0
666,YRI,现代,0
667,YRI,现代,0
668,YRI,现代,0
669,YRI,现代,0
670,YRI,现代,0
671,YRI,现代,0
672,YRI,现代,0
673,YRI,现代,0
674,YRI,古代_近期,5000
675,YRI,现代,0
676,YRI,现代,0
677,YRI,现代,0
678,YRI,古代_近期,5000
679,YRI,现代,0
680,YRI,现代,0
681,YRI,现代,0
682,YRI,现代,0
683,YRI,现代,0
684,YRI,现代,0
685,YRI,现代,0
686,YRI,现代,0
687,YRI,现代,0
688,YRI,现代,0
689,YRI,现代,0
690,YRI,现代,0
691,YRI,现代,0
692,YRI,现代,0
693,YRI,现代,0
694,YRI,现代,0
695,YRI,现代,0
696,YRI,现代,0
697,YRI,现代,0
698,YRI,现代,0
699,YRI,现代,0
700,YRI,现代,0
701,YRI,现代,0
702,YRI,现代,0
703,YRI,现代,0
704,YRI,现代,0
705,YRI,现代,0
706,YRI,现代,0
707,YRI,现代,0
708,YRI,现代,0
709,YRI,现代,0
710,YRI,现代,0
711,YRI,现代,0
712,YRI,现代,0
713,YRI,现代,0
714,YRI,现代,0
715,YRI,现代,0
716,YRI,现代,0
717,YRI,现代,0
718,YRI,现代,0
719,YRI,现代,0
720,YRI,现代,0
721,YRI,现代,0
